tree_tip,matched_MDD_name,match_type,order,family,genus,iucn_category,extinct_flag
Scaptonyx_fusicaudus,Scaptonyx_fusicauda,synonym:MSW3,Eulipotyphla,Talpidae,Scaptonyx,LC,0.0
Condylura_cristata,Condylura_cristata,direct,Eulipotyphla,Talpidae,Condylura,LC,0.0
Congosorex_verheyeni,Congosorex_verheyeni,direct,Eulipotyphla,Soricidae,Congosorex,LC,0.0
Congosorex_polli,Congosorex_polli,direct,Eulipotyphla,Soricidae,Congosorex,DD,0.0
Congosorex_phillipsorum,Congosorex_phillipsorum,direct,Eulipotyphla,Soricidae,Congosorex,CR,0.0
Myosorex_schalleri,Myosorex_schalleri,direct,Eulipotyphla,Soricidae,Myosorex,DD,0.0
Myosorex_jejei,Myosorex_jejei,direct,Eulipotyphla,Soricidae,Myosorex,NT,0.0
Myosorex_rumpii,Myosorex_rumpii,direct,Eulipotyphla,Soricidae,Myosorex,EN,0.0
Myosorex_tenuis,Myosorex_tenuis,direct,Eulipotyphla,Soricidae,Myosorex,EN,0.0
Myosorex_zinki,Myosorex_zinki,direct,Eulipotyphla,Soricidae,Myosorex,LC,0.0
Myosorex_babaulti,Myosorex_babaulti,direct,Eulipotyphla,Soricidae,Myosorex,LC,0.0
Myosorex_kabogoensis,Myosorex_kabogoensis,direct,Eulipotyphla,Soricidae,Myosorex,DD,0.0
Myosorex_varius,Myosorex_varius,direct,Eulipotyphla,Soricidae,Myosorex,LC,0.0
Myosorex_longicaudatus,Myosorex_longicaudatus,direct,Eulipotyphla,Soricidae,Myosorex,EN,0.0
Myosorex_cafer,Myosorex_cafer,direct,Eulipotyphla,Soricidae,Myosorex,VU,0.0
Myosorex_eisentrauti,Myosorex_eisentrauti,direct,Eulipotyphla,Soricidae,Myosorex,CR,0.0
Myosorex_sclateri,Myosorex_sclateri,direct,Eulipotyphla,Soricidae,Myosorex,VU,0.0
Myosorex_blarina,Myosorex_blarina,direct,Eulipotyphla,Soricidae,Myosorex,EN,0.0
Myosorex_okuensis,Myosorex_okuensis,direct,Eulipotyphla,Soricidae,Myosorex,VU,0.0
Myosorex_gnoskei,Myosorex_gnoskei,direct,Eulipotyphla,Soricidae,Myosorex,EN,0.0
Myosorex_kihaulei,Myosorex_kihaulei,direct,Eulipotyphla,Soricidae,Myosorex,EN,0.0
Myosorex_geata,Myosorex_geata,direct,Eulipotyphla,Soricidae,Myosorex,EN,0.0
Myosorex_meesteri,Myosorex_meesteri,direct,Eulipotyphla,Soricidae,Myosorex,LC,0.0
Myosorex_bururiensis,Myosorex_bururiensis,direct,Eulipotyphla,Soricidae,Myosorex,VU,0.0
Sylvisorex_corbeti,Sylvisorex_corbeti,direct,Eulipotyphla,Soricidae,Sylvisorex,DD,0.0
Suncus_hosei,Suncus_hosei,direct,Eulipotyphla,Soricidae,Suncus,DD,0.0
Sylvisorex_johnstoni,Sylvisorex_johnstoni,direct,Eulipotyphla,Soricidae,Sylvisorex,LC,0.0
Suncus_aequatorius,Suncus_aequatorius,direct,Eulipotyphla,Soricidae,Suncus,EN,0.0
Sylvisorex_howelli,Sylvisorex_howelli,direct,Eulipotyphla,Soricidae,Sylvisorex,LC,0.0
Sylvisorex_lunaris,Sylvisorex_lunaris,direct,Eulipotyphla,Soricidae,Sylvisorex,NT,0.0
Sylvisorex_camerunensis,Sylvisorex_camerunensis,direct,Eulipotyphla,Soricidae,Sylvisorex,VU,0.0
Sylvisorex_granti,Sylvisorex_granti,direct,Eulipotyphla,Soricidae,Sylvisorex,LC,0.0
Sylvisorex_vulcanorum,Sylvisorex_vulcanorum,direct,Eulipotyphla,Soricidae,Sylvisorex,LC,0.0
Suncus_hututsi,Suncus_hututsi,direct,Eulipotyphla,Soricidae,Suncus,LC,0.0
Sylvisorex_silvanorum,Sylvisorex_silvanorum,direct,Eulipotyphla,Soricidae,Sylvisorex,DD,0.0
Suncus_remyi,Suncus_remyi,direct,Eulipotyphla,Soricidae,Suncus,LC,0.0
Sylvisorex_akaibei,Sylvisorex_akaibei,direct,Eulipotyphla,Soricidae,Sylvisorex,LC,0.0
Suncus_infinitesimus,Suncus_infinitesimus,direct,Eulipotyphla,Soricidae,Suncus,LC,0.0
Suncus_varilla,Suncus_varilla,direct,Eulipotyphla,Soricidae,Suncus,LC,0.0
Suncus_megalura,Suncus_megalurus,synonym:MSW3,Eulipotyphla,Soricidae,Suncus,LC,0.0
Ruwenzorisorex_suncoides,Ruwenzorisorex_suncoides,direct,Eulipotyphla,Soricidae,Ruwenzorisorex,VU,0.0
Sylvisorex_konganensis,Sylvisorex_konganensis,direct,Eulipotyphla,Soricidae,Sylvisorex,DD,0.0
Scutisorex_thori,Scutisorex_thori,direct,Eulipotyphla,Soricidae,Scutisorex,DD,0.0
Scutisorex_somereni,Scutisorex_somereni,direct,Eulipotyphla,Soricidae,Scutisorex,LC,0.0
Sylvisorex_ollula,Sylvisorex_ollula,direct,Eulipotyphla,Soricidae,Sylvisorex,LC,0.0
Crocidura_pachyura,Crocidura_pachyura,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_russula,Crocidura_russula,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
Crocidura_roosevelti,Crocidura_roosevelti,direct,Eulipotyphla,Soricidae,Crocidura,LC,0.0
